date,Sample Name,Transaction Amount,Category,days_since_start
2024-08-08,Pharmacy,-41.75,Health,220
2024-08-09,Gym Membership,-50.0,Health,221
2024-08-10,Mobile Phone Bill,-75.0,Utilities,222
2024-08-11,School Supplies,-120.5,Education,223
2024-08-12,Public Transport,-30.0,Transportation,224
2024-08-13,Back-to-School Clothing,-175.0,Shopping,225
2024-08-14,Supermarket,-101.25,Food,226
2024-08-15,Internet Service,-60.0,Utilities,227
2024-08-15,Paycheck,3000.0,Income,227
2024-08-16,Haircut and Styling,-55.0,Personal Care,228
2024-08-17,Home Paint Job,-200.0,Home Improvement,229
2024-08-18,Fast Food,-13.5,Food,230
2024-08-19,Video Game Purchase,-59.99,Entertainment,231
2024-08-20,Pet Check-up,-95.0,Pets,232
2024-08-21,Car Insurance,-150.0,Insurance,233
2024-08-22,Annual Physical,-25.0,Health,234
2024-08-23,Office Chair,-189.99,Office,235
2024-08-24,Farmers Market Produce,-35.0,Food,236
2024-08-25,Local Food Bank Donation,50.0,Donations,237
2024-08-26,Bike Rental,-20.0,Transportation,238
2024-08-27,Window Cleaning Service,-75.0,Home Improvement,239
2024-08-28,Yoga Workshop,-40.0,Health,240
2024-08-29,Museum Membership,-65.0,Entertainment,241
2024-08-30,Grocery Delivery,-93.5,Food,242
2024-08-31,Rent Payment,-1200.0,Housing,243
2024-09-01,Paycheck,3000.0,Income,244
2024-09-02,Grocery Store,-85.32,Food,245
2024-09-03,Gas Station,-45.67,Transportation,246
2024-09-04,Online Retailer,-129.99,Shopping,247
2024-09-05,Coffee Shop,-4.5,Food,248
2024-09-05,Electric Company,-120.0,Utilities,248
2024-09-05,Freelance Work,500.0,Income,248
2024-09-06,Restaurant,-65.75,Food,249
2024-09-07,Movie Theater,-28.5,Entertainment,250
2024-09-08,Pharmacy,-32.45,Health,251
2024-09-08,Gift from Family,100.0,Gifts,251
2024-09-09,Gym Membership,-50.0,Health,252
2024-09-10,Mobile Phone Bill,-75.0,Utilities,253
2024-09-11,Bookstore,-39.99,Education,254
2024-09-12,Public Transport,-30.0,Transportation,255
2024-09-12,Side Gig,150.0,Income,255
2024-09-13,Clothing Store,-89.5,Shopping,256
2024-09-14,Supermarket,-102.75,Food,257
2024-09-15,Internet Service,-60.0,Utilities,258
2024-09-15,Paycheck,3000.0,Income,258
2024-09-16,Hair Salon,-55.0,Personal Care,259
2024-09-17,Hardware Store,-78.25,Home Improvement,260
2024-09-18,Fast Food,-12.99,Food,261
2024-09-18,Interest Income,25.5,Investment,261
2024-09-19,Streaming Service,-14.99,Entertainment,262
2024-09-20,Pet Store,-45.5,Pets,263
2024-09-20,Dividend Payment,75.0,Investment,263
2024-09-21,Car Insurance,-150.0,Insurance,264
2024-09-22,Dentist,-200.0,Health,265
2024-09-22,Tax Refund,250.0,Income,265
2024-09-23,Office Supplies,-28.75,Office,266
2024-09-24,Lunch with Colleagues,-35.0,Food,267
2024-09-25,Charity Donation,50.0,Donations,268
2024-09-25,Cashback Rewards,35.75,Income,268
2024-09-26,Parking Fee,-15.0,Transportation,269
2024-09-27,Home Decor Store,-75.5,Home Improvement,270
2024-09-28,Gym Equipment,-199.99,Health,271
2024-09-29,Concert Tickets,-120.0,Entertainment,272
2024-09-30,Grocery Delivery,-95.25,Food,273
2024-09-30,Rent Payment,-1200.0,Housing,273
